search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20070401&after=publication:20070101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7164255B2,Inductive battery charger system with primary transformer windings formed in a multi-layer structure ,City University Of Hong Kong,Shu-Yuen Ron Hui,2002-06-10,2004-12-10,2007-01-16,2007-01-16,https://patents.google.com/patent/US7164255B2/en
US7184814B2,Assessing the condition of a joint and assessing cartilage loss ,The Board Of Trustees Of The Leland Stanford Junior University,"Philipp Lang, Daniel Steines",1998-09-14,2001-09-14,2007-02-27,2007-02-27,https://patents.google.com/patent/US7184814B2/en
US7189992B2,Transistor structures having a transparent channel ,State Of Oregon Acting By And Through The Oregon State Board Of Higher Education On Behalf Of Oregon State University,"John F. Wager, III, Randy L. Hoffman",2002-05-21,2002-11-27,2007-03-13,2007-03-13,https://patents.google.com/patent/US7189992B2/en
US7195733B2,Composite patterning devices for soft lithography ,The Board Of Trustees Of The University Of Illinois,"John A. Rogers, Etienne Menard",2004-04-27,2005-04-27,2007-03-27,2007-03-27,https://patents.google.com/patent/US7195733B2/en
US7189435B2,Nanofabrication ,University Of Massachusetts,"Mark Tuominen, Mustafa Bal, Thomas P. Russell, Andrei Ursache",2001-03-14,2002-03-14,2007-03-13,2007-03-13,https://patents.google.com/patent/US7189435B2/en
US7173265B2,Modular patient support system ,Loma Linda University Medical Center,"Daniel W. Miller, Steve K. McAllaster, Jerry D. Slater, Nickolas S. Rigney, Daniel C. Anderson, Michael F. Moyers",2003-08-12,2004-08-12,2007-02-06,2007-02-06,https://patents.google.com/patent/US7173265B2/en
US7160531B1,Process for the continuous production of aligned carbon nanotubes ,University Of Kentucky Research Foundation,"David N. Jacques, Rodney J. Andrews",2001-05-08,2002-05-08,2007-01-09,2007-01-09,https://patents.google.com/patent/US7160531B1/en
US7194114B2,"Object finder for two-dimensional images, and system for determining a set of sub-classifiers composing an object finder ",Carnegie Mellon University,Henry Schneiderman,2002-10-07,2002-10-07,2007-03-20,2007-03-20,https://patents.google.com/patent/US7194114B2/en
US7193227B2,Ion beam therapy system and its couch positioning method ,"Hitachi, Ltd., Board Of Regents, The University Of Texas System","Kazuo Hiramoto, Hiroshi Akiyama, Yoshihiko Nagamine, Alfred Smith, Wayne Newhauser",2005-01-24,2005-01-24,2007-03-20,2007-03-20,https://patents.google.com/patent/US7193227B2/en
US7167760B2,Apparatus and methods of optimal placement of deep brain stimulator ,Vanderbilt University,"Benoit M. Dawant, Peter E. KONRAD, J. Michael Fitzpatrick",2003-04-28,2004-04-28,2007-01-23,2007-01-23,https://patents.google.com/patent/US7167760B2/en
US7157036B2,Method to reduce adhesion between a conformable region and a pattern of a mold ,"Molecular Imprints, Inc, University Of Texas Systems","Byung Jin Choi, Frank Y. Xu, Nicholas A. Stacey, Van Xuan Hong Truskett, Michael P. C. Watts",2003-06-17,2003-06-17,2007-01-02,2007-01-02,https://patents.google.com/patent/US7157036B2/en
US7195761B2,Humanized antibodies that sequester abeta peptide ,"Eli Lilly And Company, Washington University","David M. Holtzman, Ronald DeMattos, Kelly R. Bales, Steven M. Paul, Naoya Tsurushita, Maximiliano Vasquez",2000-02-24,2002-08-21,2007-03-27,2007-03-27,https://patents.google.com/patent/US7195761B2/en
US7174536B1,Integrated interactive software visualization environment ,"Iowa State University Research Foundation, Inc.","Suraj C. Kothari, Aravind Krishnaswamy, Yogy Namara, Yunbo Deng",2001-02-12,2001-02-12,2007-02-06,2007-02-06,https://patents.google.com/patent/US7174536B1/en
US7194117B2,"System and method for performing a three-dimensional virtual examination of objects, such as internal organs ",The Research Foundation Of State University Of New York,"Arie E. Kaufman, Zhengrong Liang, Mark R. Wax, Ming Wan, Dongqing Chen, Bin Li",1999-06-29,2001-02-05,2007-03-20,2007-03-20,https://patents.google.com/patent/US7194117B2/en
US7158563B2,Dynamic digital communication system control ,The Board Of Trustees Of The Leland Stanford Junior University,"Georgios Ginis, Wei Yu, Chaohuang Zeng, John M. Cioffi",2001-06-01,2001-06-08,2007-01-02,2007-01-02,https://patents.google.com/patent/US7158563B2/en
US7192584B2,Methods of treating psoriasis with anti-TNF antibodies ,"Centocor, Inc., New York University","Junming Le, Jan Vilcek, Peter Daddona, John Ghrayeb, David Knight, Scott Siegel",1991-03-18,2001-08-10,2007-03-20,2007-03-20,https://patents.google.com/patent/US7192584B2/en
US7177515B2,Surface plasmon devices ,The Regents Of The University Of Colorado,"Michael J. Estes, Garret Moddel",2002-03-20,2002-05-06,2007-02-13,2007-02-13,https://patents.google.com/patent/US7177515B2/en
US7190049B2,Nanocylinder arrays ,University Of Massachusetts,"Mark Tuominen, Joerg Schotter, Thomas Thurn-Albrecht, Thomas P. Russell",2000-03-22,2001-03-23,2007-03-13,2007-03-13,https://patents.google.com/patent/US7190049B2/en
US7191110B1,Patient specific circulation model ,"University Of Illinois, Board Of Trustees","Fady T. Charbel, Marlyn E. Clark, Lewis Sadler, Noam Alperin, Francis Loth, Meide Zhao",1998-02-03,1999-09-20,2007-03-13,2007-03-13,https://patents.google.com/patent/US7191110B1/en
US7160525B1,Monodisperse noble metal nanocrystals ,The Board Of Trustees Of The University Of Arkansas,"Xiaogang Peng, Lin Song Li, Nikhil Jana",2003-10-14,2004-10-14,2007-01-09,2007-01-09,https://patents.google.com/patent/US7160525B1/en
US7173369B2,Transparent contacts for organic devices ,The Trustees Of Princeton University,"Stephen R. Forrest, Mark E. Thompson, Paul E. Burrows, Vladimir Bulovic, Gong Gu",1994-12-13,2003-06-11,2007-02-06,2007-02-06,https://patents.google.com/patent/US7173369B2/en
US7190141B1,Exoskeletal device for rehabilitation ,Villanova University,"Hashem Ashrafiuon, Mehdi Nikkhah",2006-01-27,2006-01-27,2007-03-13,2007-03-13,https://patents.google.com/patent/US7190141B1/en
US7156877B2,Biodegradable/bioactive nucleus pulposus implant and method for treating degenerated intervertebral discs ,The Regents Of The University Of California,"Jeffrey C. Lotz, Olivier K. Colliou, David S. Bradford",2001-06-29,2002-05-24,2007-01-02,2007-01-02,https://patents.google.com/patent/US7156877B2/en
